feature,perm_importance
koi_model_snr,0.1033773861967695
koi_duration,0.021659324522760693
koi_impact,0.009104258443465563
ra,0.006240822320117523
koi_depth_err2,0.005066079295154224
koi_tce_delivnameq1_q17_dr25_tce,0.004919236417033823
dec,0.004845814977973606
koi_period_err2,0.004405286343612369
koi_depth,0.0028634361233480397
koi_depth_err1,0.0027165932452276388
koi_steff_err1,0.002349486049926608
koi_time0bk_err1,0.002276064610866413
koi_duration_err2,0.002202643171806218
koi_period,0.0017621145374449698
koi_duration_err1,0.001321585903083744
koi_prad,0.0011013215859031257
koi_slogg,0.0009544787077826799
koi_impact_err1,0.0008810572687225071
koi_time0bk_err2,0.0008810572687224961
koi_tce_plnt_num,0.0008076358296622898
koi_kepmag,0.0007342143906020948
koi_insol,0.0007342143906020837
koi_slogg_err1,0.0005873715124816825
koi_slogg_err2,0.0005873715124816825
koi_teq,0.0005139500734214653
koi_prad_err1,0.0005139500734214653
koi_period_err1,0.00036710719530106404
koi_impact_err2,0.00036710719530106404
koi_steff,0.00014684287812045672
koi_fpflag_co,7.342143906020615e-05
koi_time0bk,5.551115123125783e-17
koi_insol_err1,2.2204460492503132e-17
koi_fpflag_nt,1.1102230246251566e-17
koi_fpflag_ec,0.0
koi_fpflag_ss,0.0
koi_tce_delivnameq1_q17_dr24_tce,0.0
koi_tce_delivnameq1_q16_tce,-7.342143906019505e-05
koi_insol_err2,-0.00014684287812037898
koi_prad_err2,-0.0002936857562407913
koi_srad,-0.0005139500734213876
koi_srad_err1,-0.0011747430249632097
koi_steff_err2,-0.0011747430249632429
koi_srad_err2,-0.0023494860499264857
